transliteration,meaning_en,meaning_ar,phnid,hieroglyphs
Akrw,earth gods,آلهة الأرض,1,𓄿𓎡𓂋𓆙𓏥𓄿𓎡𓂋𓅆𓈓𓄿𓎡𓂋𓀭𓏪
Agbi,"Water-fullerene, abundance, inundation",فيضان، غمر، زيادة,1,𓄿𓎼𓃀𓇋𓈗
At,"mound of ruins, emptiness",خربة، خلاء,1,𓄿𓏏𓈇
At,"striking power (of god), attack (of cobra)",قوة ضاربة (للإله)، هجوم (للكوبرا),1,𓄿𓏏𓇳𓏤𓄿𓏏𓄁
At,"moment, instant, time (in general)",لحظة، وقت,1,𓄿𓏏𓏯𓇳𓄿𓏏𓇳𓏤𓄿𓏏𓄁𓇳𓄁𓏏𓇳𓄿𓏏𓄁𓇋𓄿𓏏𓄁𓇳
Aty,inexistent,غير موجود,1,𓄿𓏏𓏭𓂜
Atp,coffer,صندوق لوضع الأشياء الثمينة,1,𓄿𓏏𓊪𓀋𓆱
ATp,"load (a ship, etc.), load (a cargo into a ship), be heavy-laden (with trouble)",يُحمِّل (سفينة، ...الخ)، مُثقل (بالمشاكل),1,𓄿𓍿𓊪𓀋𓄿𓏏𓊪𓀋𓀋𓀜𓄿𓏏𓊪𓂡
Atpw,"load (n.), cargo",حِمل، حمولة,1,𓄿𓏏𓊪𓅱𓀋𓀜𓀋𓊪𓍢𓏛𓏥𓀋𓍢𓏛𓏥
Atpwt,"load (n.), cargo",حمولة، حِمل,1,𓄿𓏏𓊪𓅱𓏏𓀋𓂡𓏥𓄿𓏏𓊪𓇌𓏏𓀋
Atf,to be crowned,يتوَّج,1,
Atfw,atef-crown,تاج الآتف,1,𓄿𓏏𓆑𓅱𓋚𓄿𓏏𓆑𓋚𓏥𓄿𓏏𓆑𓅱𓄅𓄿𓏏𓆑𓋚𓋚
AT,nurse (vb.),تُرضِع، تُرَبِّي,1,
ATyt,nurse (n.),مُرَبيَّة، مُرضِعة,1,𓄿𓏏𓇌𓏏𓂾𓁐
ATw,commander,قائد عسكري,1,𓂾𓅱𓀀
ATw,sandals bearer,حامل النعل,1,𓄿𓍿𓅱𓀀
ATwt,bed,سرير,1,𓄿𓍿𓅱𓏏𓆱𓄿𓍘𓇋𓍢𓏏𓆱
Ad,decay (vb.),يَذبُل، يَضعف,1,𓄿𓂧𓐍
Ad,"be savage (of crocodile), be aggressive, be angry (with, at), attack (vb.), anger (n.)",يتوحش (تمساح)، يكون عدواني، يغضب، يهاجم، غضب,1,𓄿𓂧𓆊
Ad,"quiver, palpitate, be tired",يرتجف، يَتعب، يَخفِق,1,𓄿𓂧𓂻
Ad ib,be oppressive,يكون قمعي,1,
Adw,aggressor,مُعتَدي,1,𓄿𓂧𓅱𓆊𓀀𓄿𓂧𓅱𓂝𓀀𓄿𓏏𓆊
Adt,prepare (a sleeping place),إعداد (مكان للنوم),1,𓄿𓂧𓏏𓏯𓀜𓄿𓂧𓏏𓏛𓀜
A,tread (?) (a place),يطأ (؟) (مكان)، يدوس (؟),2,
A,enclitic particle (with exclamatory force),أداة إسناد (بصيغة تعجب),2,𓄿
A,"vulture, bird (in general)",نسر، طائر,2,𓄿𓏤
AA,mound of ruins,تل من الأطلال، خرائب,2,𓄿𓄿𓈇𓏤
AAtA,nubian chieftain (?),زعيم نوبي (؟),2,𓄿𓄿𓏏𓄿𓂡𓀐
Aiw,windy,عاصف,2,𓄿𓇋𓏲𓊡
Ais,viscera,أحشاء، أمعاء,2,𓄿𓇋𓋴𓐎𓄿𓋴𓐎𓇋𓋴𓐎𓄿𓊃𓐎
Ais n Dnnt,brain (viscera of the scull),احشاء الجمجمة (المخ),2,
Ayt,blanch (?),يُبيِّض (؟)، يجعله شاحبًا (؟),2,𓄿𓇌𓏏𓅪𓄿𓏏𓀜
Aaa,speak in a foreign language,رطن، تكلم بلغة غير مفهومة، تكلم بلغة اجنبية,2,𓄿𓂝𓂝𓋮
Aaa,translator,مترجِم,2,𓄿𓂝𓂝𓍢𓋮𓀜
Aawt,container (for papyri),صندوق (للبردي),2,𓄿𓂝𓅱𓄛
Aabt,oppression,ظلم، قهر,2,𓄿𓂝𓃀𓏏𓅪𓄿𓂝𓃀𓏏𓄐𓅪𓏥
Aw,"faded, deceased",متوفى، شاحب,2,
Aw,"length (of space, of time)",طول (مسافة)، طول (مُدَّة),2,𓄫𓅱𓄫𓅱𓂢
Aw,"death, evil, damage",موت، شر، ضرر,2,𓄫𓍢𓏱𓄿𓏱𓏲
Aw,extended (deceased),مُمَدَد (متوفى),2,𓄫𓀐
Aw,"long (of space, of time)",طويل (للمسافة)، (وقت) طويل,2,𓄫𓅱𓄫𓅱𓏛𓄫𓏛
Aw,Joyful,بهيج، مبتهج,2,𓄫𓅱
Aw ib,"joyful, cheerful",مُبهِج، مُفرِح,2,
Aw Hr,farsighted,بعيد النظر,2,
Aw Drt,generous,سخي، كريم,2,
Awy,announce (someone),يعلن عن (شخص ما لـ),2,𓄫𓅱𓇌𓀜𓄿𓄫𓅱
Awy,"extended (the arm), present (an offering)",يبسط (ذراع)، يقدم (قرابين),2,𓄫𓅱𓇌𓀜𓄫𓍢𓂡
Awi,(be) long,(يكون) طويلا,2,𓄫𓅱𓀜𓏛
Awy,"extended (the arm), present (an offering), announce (someone), lay (hands on)",يبسط (ذراع)، يقدم (قرابين)، يعلن عن (شخص ما)، يضع (اليد على),2,𓄫𓅱𓇌𓀜𓄫𓍢𓂡𓄿𓄫𓅱𓄫𓅱𓅱
Awy-Drt,lay hands on,يضع يد على,2,𓄫𓅱𓇌𓀜𓂧𓏏𓏤
AwH,do violence (to),يعمل عنف (ضد),2,𓄫𓅱𓎛𓀜
Awt,long knife,سكين طويل,2,𓄫𓅱𓏏𓌪
Awt,"gifts, food",هدايا، طعام,2,𓄫𓏏𓏐𓏖𓏊
Awt,"gifts, oblations",هدايا، قرابين,2,𓄫𓏏𓅱𓈀𓄫𓏏𓄫𓏏𓏛𓏥
Awt,length (of time),طول ( للوقت),2,𓄫𓏏𓏛𓄫𓏏𓅱𓏛𓏛𓏛
Awt-ib,"happiness, joy",سعادة,2,𓄫𓅱𓏏𓄣𓏤
Awt-a,"elongate, gifts",يطَيل، هبات، هدايا، عطاء,2,𓄫𓅱𓏏𓂝𓏤
Awt-a,gifts,هدايا، هبات,2,𓄫𓅱𓏏𓂝𓏤𓏛𓏥
Awt Dt,"in the length of eternity, in perpetuity",إلى الأبد,2,
Ab,"stop, tarry, stay, cease, avoid",يتوقف، يَبقى، يتلكأ، يوقف، يتجنب,2,𓍋𓃀𓂻
AbAb,be delighted (?),يبتهج (؟),2,𓍋𓃀𓍋𓃀𓀁
Abi,"desire, wish for",يرغب، يتمنى,2,𓍋𓃀𓀁𓋁𓃀
Aby,"panther, leopard",فهد,2,𓍋𓃀𓇌𓃮𓍋𓃀𓇌𓃮𓄛𓍋𓃀𓃮𓃮
Abw,elephantine,جزيرة الفنتين,2,𓍋𓅱𓊖𓍋𓃀𓋭𓊖𓋭𓊖𓍋𓃀𓐎𓈉𓊖𓍋𓃀𓍢𓐎𓈉
Abw,ivory,عاج,2,𓍋𓃀𓅱𓌟𓍋𓃀𓌟𓋁𓃀𓅱𓈓𓌟𓍋𓃀𓅱𓄏
Abw,elephant,فيل,2,𓍋𓃀𓅱𓃰
Abw,scorch (knife),يجعل (السكين) حادا,2,𓍋𓃀𓅱𓌪
Abw,brand (slave or cattle),يكوي بالنار (عبد أو ماشية),2,𓍋𓃀𓅱𓊮𓍋𓃀𓅱𓌪
Abw,cessation,انقطاع، توقف,2,𓍋𓃀𓅱𓂻
Abwt,"shape, form",شكل، هيئة,2,𓍋𓃀𓅱𓏏𓀾𓋁𓍢𓏭𓀾
Abx,"unite (to), mix (into) (of compounding drugs), join (a god, the stars), link (?) (arms), mingle (with), be merged (in), engage (in battle)",يوَحد، يمزج (للأدوية المركبة)، يضم، يتحد بـ (إله - النجوم)، يختلط، يشتبك (في معركة)، يصل (؟) (الأذرع),2,𓍋𓃀𓐍𓂝𓍋𓃀𓐍𓏴𓏛𓋁𓃀𓐍𓏴𓍋𓐍𓃀𓏴𓏛𓄿𓃀𓐍
Abt,brand (n.),وسم بالنار,2,
Abt,bend,إلتواء، إنثناء,2,𓄿𓃀𓏏𓌛
Abt,"household, family",عائلة، أهل بيت,2,𓍋𓃀𓎷𓏏𓀀𓁐𓏥𓍋𓃀𓏏𓎷𓍋𓃀𓏏𓌪𓀀𓁐𓏥
Abd,monthly festival,احتفال شهري,2,𓇹𓇼𓂧𓎳𓇺𓇼𓂧𓇹𓇼𓂧𓏒
Abd,month,شهر,2,𓇹𓇼𓂧𓇳𓏤𓇺𓇼𓂧𓇳𓏤𓇺𓇹
AbDw,a fish,سمكة,2,𓍋𓃀𓈋𓅱𓆝𓋁𓃀𓂧𓆝
AbDw,Abydos (a town in Upper Egypt),أبيدوس (العرابة المدفونة),2,𓍋𓃀𓈋𓊖𓍋𓈋𓊖𓋁𓃀𓂧𓊖𓍋𓈋𓈈
AbDw,Abydos,أبيدوس,2,𓍋𓃀𓈋𓊖
Apd,rush forward,يندفع للأمام,2,𓄿𓊪𓂧𓂻
Apd,"goose, duck, bird (in general)",طائر، أوزة، بطة,2,𓄿𓊪𓂧𓅭𓅬𓅿
Afa,glutton,نَهِم، شرِه,2,𓄿𓆑𓂝𓃲𓀀
Afa,gluttony,نهَم، شراهة,2,𓄿𓆑𓂝𓃲
Afry,boil (vb.),يغلى,2,𓄿𓆑𓂝𓇌𓊮
Afd,part of animal’s leg,جزء من رجل حيوان,2,𓄿𓆑𓂧𓂾
Am,attack,يهاجم، ينقض,2,𓄿𓅓𓂡
Am,"burn up (trans.), burn (intrans.), burn (of brazier)",يحرق، يحترق، يحترق (من المجمرة),2,𓄿𓅓𓊮
Ami,"mix, compound",يخلط، يزيد,2,𓄿𓏇𓇋𓀜
Ama,a perching bird,طائر جاثم,2,𓄿𓅓𓂝𓅭
Amat,"ramus (of jaw), fork (of bone)",الفَك السفلي,2,𓄿𓅓𓂝𓏏𓂡𓄿𓅓𓂝𓅱𓏏𓂡𓄿𓅓𓂝𓏏𓂝
Amm,"seize (vb.), grasp (vb.), attack (someone), grasp (n.)",يمسك، يعانق، يهاجم (شخص)، مسكة,2,𓄿𓅓𓅓𓂬
Ammw,gripings (medical),مَسَّاكات (طبية),2,𓄿𓅓𓅓𓅱𓂝𓏥
Ammt,grasp (n.),قبضة، مسكة,2,𓄿𓅓𓅓𓏏𓂬
Ams,falsehood,كَذِب,2,𓄿𓄟𓋴𓅪𓏥
Ams,"care for, show solicitude",يعتنى بـ، يهتم بـ، يظهر التعاطف,2,𓄿𓄟𓋴𓃖
Ams,"a club, royal staff, mace, wield theAms",عصا، عصا ملكية، صولجان، يسيطر على عصا الـAms,2,𓄿𓄟𓋴𓌄
Ar,"drive away (from), hold back, restrain, oppress (the poor)",يَحجز، يوقف، يضطهد (الفقير)، يُبعد، يطرُد,2,𓄿𓂋𓌗𓀜𓇋𓂋𓌗𓂡𓄿𓇋𓂋𓌗𓀜
Aryt,"staff, stick",عصا,2,𓄿𓂋𓇌𓏏𓌃
Art,sky,سماء,2,𓄿𓂋𓏏𓇯
Ahy,descend,يهبط، ينزل، ينحدر,2,𓄿𓉔𓇋𓇋𓂻
Ahw,sufferer,شخص في معاناة (مرض، ظلم ...الخ),2,𓄿𓉔𓍢𓅪𓀀
